"Year","Under 5 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Under 50% of poverty line","Under 100% of poverty line","Under 125% of poverty line","Population participating in SNAP"
2012,5462,6015,5185,4494,3941,5393,5323,5047,5393,4978,4494,3595,3249,2420,1590,1244,830,484,3215,5416,15324,9379,3391,5108,2202,4391,9356,13522,6336
2013,5245,6014,5245,4546,4056,5245,5385,5315,5245,4895,4616,3846,3357,2448,1748,1329,839,559,3044,4969,15311,10028,3805,5372,2283,4429,9518,13095,6510
2014,5174,6024,5457,4678,4111,5174,5457,5457,5032,4961,4607,3756,3544,2693,1914,1347,992,496,3274,4774,15914,10003,3956,5320,2228,4422,9460,13150,7138
2015,5041,6049,5545,4753,4177,5113,5473,5401,5185,4969,4825,4105,3529,2736,2160,1440,936,576,3130,5279,16241,10167,3954,5358,2308,4778,10902,14526,6135
2016,5354,5794,5647,4694,4400,5280,5647,5500,5060,4987,4914,4254,3740,2714,2420,1540,880,587,3022,5517,16018,10791,4214,5567,2413,4222,10548,14074,5468
2017,5423,5879,5708,4883,4394,5384,5738,5089,5663,5069,4945,4470,3822,2845,2610,1622,972,583,3091,5109,16651,11330,4210,5756,2665,3629,9829,13154,4054
2018,5413,5946,5753,5045,4445,5582,5767,5447,5566,5177,5038,4749,3772,3192,2670,1652,969,704,3022,5502,17273,11524,4102,6055,2807,3686,9269,13461,4401
2019,5461,5960,5888,5173,4590,5743,5882,5495,5685,5365,5170,4973,3861,3321,2981,1626,1024,793,2738,5293,17703,12127,4201,6618,3239,3677,9907,13721,3867
2020,5520,5896,6180,5225,4837,5928,6018,5291,6282,5458,5202,4995,4299,3935,2672,1665,956,935,2670,4566,18357,12796,4418,6672,4157,4171,9063,12743,5058
2021,5417,6128,6123,5391,4910,5814,6009,5307,6465,5564,5233,5069,4488,3932,2736,1603,967,982,2571,4079,18643,12916,4664,7001,4295,3634,8540,12233,4481
2022,5407,5913,6373,5716,5264,5992,6172,5713,6448,5567,5431,4942,4794,4141,2850,1681,1012,983,2777,4131,18698,13334,4986,7743,4057,4145,8009,12533,4915
