"Year","Banks County, Georgia","Barrow County, Georgia","Clarke County, Georgia","Elbert County, Georgia","Franklin County, Georgia","Habersham County, Georgia","Hart County, Georgia","Jackson County, Georgia","Madison County, Georgia","Oconee County, Georgia","Oglethorpe County, Georgia","Rabun County, Georgia","Stephens County, Georgia","Towns County, Georgia","White County, Georgia"
"2010",3246,9291,13463,4677,5110,8653,6256,9744,5032,4821,2954,4522,6004,4047,6411
"2011",3343,9800,13702,4582,5149,9189,6533,10285,5220,5191,3187,4728,6075,4023,6496
"2012",3541,9817,14366,4805,5120,9296,6598,10305,5430,5480,3244,4791,6188,4071,6704
"2013",3760,10280,14739,4917,5302,9501,6539,10782,5890,5783,3226,4947,6193,4051,6795
"2014",3829,10986,15559,5003,5446,9839,6658,11088,6107,6214,3306,5172,6126,4150,6871
"2015",4106,11377,16081,5059,5483,10143,6757,11301,6466,6570,3422,5253,6098,4266,7170
"2016",4218,11881,16841,5061,5659,10405,6915,11866,6637,7015,3479,5399,6166,4423,7372
"2017",4207,12454,17345,5092,5691,10665,7015,12724,6721,7602,3441,5564,6327,4566,7553
"2018",4158,12959,18239,5142,5652,10948,7167,13142,6720,7872,3434,5767,6444,4613,8003
"2019",4274,13606,18830,5222,5715,11001,7513,13726,6856,8341,3625,6006,6591,4806,8307
"2020",4284,14462,19562,5410,5731,11341,7855,14542,6666,8447,3669,6139,6893,5078,8630
"2021",4190,14708,20188,5612,5836,11276,7738,15259,6703,8797,3587,6072,7141,5290,8160
"2022",4329,15461,20803,5702,5901,11571,7798,15854,7004,9066,3823,6228,7591,5731,8354
